scope,month,region,region_ar,digital_adoption_pct,unique_users,cost_per_txn_sar,csat,completion_time_min
national,2024-01-01,All Saudi Arabia,المملكة العربية السعودية,46.959,835826,22.302,3.584,9.079
national,2024-02-01,All Saudi Arabia,المملكة العربية السعودية,48.814,914444,22.286,3.612,8.874
national,2024-03-01,All Saudi Arabia,المملكة العربية السعودية,49.524,906596,21.978,3.563,9.143
national,2024-04-01,All Saudi Arabia,المملكة العربية السعودية,50.261,894430,22.258,3.585,9.143
national,2024-05-01,All Saudi Arabia,المملكة العربية السعودية,51.659,923018,21.996,3.652,8.652
national,2024-06-01,All Saudi Arabia,المملكة العربية السعودية,51.261,900155,22.024,3.577,8.861
national,2024-07-01,All Saudi Arabia,المملكة العربية السعودية,51.792,963157,22.108,3.636,8.924
national,2024-08-01,All Saudi Arabia,المملكة العربية السعودية,52.898,949242,21.941,3.637,8.822
national,2024-09-01,All Saudi Arabia,المملكة العربية السعودية,53.505,1004071,21.864,3.686,8.818
national,2024-10-01,All Saudi Arabia,المملكة العربية السعودية,54.880,1004120,21.451,3.644,8.838
national,2024-11-01,All Saudi Arabia,المملكة العربية السعودية,56.808,1023067,21.813,3.649,8.666
national,2024-12-01,All Saudi Arabia,المملكة العربية السعودية,56.450,1009178,21.554,3.611,8.626
national,2025-01-01,All Saudi Arabia,المملكة العربية السعودية,56.799,1038220,21.596,3.678,8.724
national,2025-02-01,All Saudi Arabia,المملكة العربية السعودية,58.732,1068611,21.195,3.720,8.585
national,2025-03-01,All Saudi Arabia,المملكة العربية السعودية,58.820,1061007,21.214,3.688,8.685
national,2025-04-01,All Saudi Arabia,المملكة العربية السعودية,60.071,1095246,21.287,3.747,9.116
national,2025-05-01,All Saudi Arabia,المملكة العربية السعودية,61.049,1155543,21.111,3.728,9.153
national,2025-06-01,All Saudi Arabia,المملكة العربية السعودية,61.495,1092313,20.802,3.716,8.877
national,2025-07-01,All Saudi Arabia,المملكة العربية السعودية,61.534,1105856,21.194,3.783,8.597
national,2025-08-01,All Saudi Arabia,المملكة العربية السعودية,63.004,1132747,20.920,3.729,8.331
national,2025-09-01,All Saudi Arabia,المملكة العربية السعودية,64.170,1204312,20.597,3.733,8.643
national,2025-10-01,All Saudi Arabia,المملكة العربية السعودية,64.678,1215296,20.392,3.757,8.600
national,2025-11-01,All Saudi Arabia,المملكة العربية السعودية,65.919,1200021,20.823,3.762,8.534
national,2025-12-01,All Saudi Arabia,المملكة العربية السعودية,66.127,1226959,20.597,3.747,8.458
region_latest,2025-12-01,Al Bahah,الباحة,62.552,87641,21.583,3.580,9.299
region_latest,2025-12-01,Al Jouf,الجوف,55.811,85504,21.801,3.714,7.550
region_latest,2025-12-01,Asir,عسير,58.677,84944,20.754,3.696,8.994
region_latest,2025-12-01,Eastern Province,المنطقة الشرقية,70.542,104688,20.533,3.794,8.048
region_latest,2025-12-01,Hail,حائل,58.136,88729,20.394,3.719,8.326
region_latest,2025-12-01,Jazan,جازان,60.955,82499,20.801,3.779,7.831
region_latest,2025-12-01,Madinah,المدينة المنورة,72.411,101327,21.353,3.952,7.524
region_latest,2025-12-01,Makkah,مكة المكرمة,80.979,111828,18.856,3.903,7.789
region_latest,2025-12-01,Najran,نجران,49.995,74222,20.768,3.462,8.726
region_latest,2025-12-01,Northern Borders,الحدود الشمالية,61.748,91797,20.995,3.676,10.570
region_latest,2025-12-01,Qassim,القصيم,62.830,89155,22.027,3.770,8.558
region_latest,2025-12-01,Riyadh,الرياض,83.879,135004,18.458,3.871,8.153
region_latest,2025-12-01,Tabuk,تبوك,62.783,89621,20.991,3.610,9.045
